experiment_id,iteration_id,iteration_number,iteration_status,population_seed,calibration_seed,parameter_seed,take_up_seed,policy_seed,sampled_parameters,error_code,warning_count,population_size,household_count,population_quality_score,calibration_converged,calibration_error,weighted_population,policy_id,policy_version,eligible_count,weighted_eligible_population,eligibility_rate,beneficiary_count,weighted_beneficiary_population,coverage_rate,total_policy_cost,average_benefit,budget_utilization,budget_exceeded,constraints_passed,policy_feasible,execution_duration_seconds,started_at,completed_at
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00013,13,COMPLETED,1110752568,1639208398,1683919134,191178330,886804166,"{'benefit_amount': 563.0438, 'total_budget': 45204637.8974}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,1,1.05,0.0001,7117.11,6756.48,0.02,False,True,True,0.8157,2026-09-13T18:26:17.330964+00:00,2026-09-13T18:26:18.146675+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00014,14,COMPLETED,1860597542,681067007,562987641,1377322465,769698268,"{'benefit_amount': 502.7644, 'total_budget': 46089471.718}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,0,0,0.0,0,0.0,0.0,False,True,True,0.8597,2026-09-13T18:26:18.170121+00:00,2026-09-13T18:26:19.029798+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00015,15,COMPLETED,44265923,492523121,41227450,956299635,1782232641,"{'benefit_amount': 581.5083, 'total_budget': 46292481.2475}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,1,1.05,0.0001,7350.58,6978.12,0.02,False,True,True,0.894,2026-09-13T18:26:19.049503+00:00,2026-09-13T18:26:19.943530+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00016,16,COMPLETED,2063668222,1228598302,102708344,223173115,483385453,"{'benefit_amount': 668.0816, 'total_budget': 39413601.7322}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,1,1.05,0.0001,8444.87,8016.96,0.02,False,True,True,1.036,2026-09-13T18:26:19.966517+00:00,2026-09-13T18:26:21.002494+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00017,17,COMPLETED,6987031,1285528449,278937459,2039484433,1109428972,"{'benefit_amount': 688.5998, 'total_budget': 46370630.9952}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,1,1.05,0.0001,8704.25,8263.2,0.02,False,True,True,0.8115,2026-09-13T18:26:21.029858+00:00,2026-09-13T18:26:21.841436+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00018,18,COMPLETED,90189105,1961961133,503831230,491032426,1445015955,"{'benefit_amount': 654.0557, 'total_budget': 47469716.2437}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,1,1.05,0.0001,8267.65,7848.72,0.02,False,True,True,0.9049,2026-09-13T18:26:21.861781+00:00,2026-09-13T18:26:22.766706+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00019,19,COMPLETED,1465877669,186025338,1193041596,150234263,1344593004,"{'benefit_amount': 587.5971, 'total_budget': 49368889.6954}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,0,0,0.0,0,0.0,0.0,False,True,True,0.9574,2026-09-13T18:26:22.783903+00:00,2026-09-13T18:26:23.741327+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00020,20,COMPLETED,812860851,1497905866,1274719891,120099849,117011942,"{'benefit_amount': 554.6023, 'total_budget': 46481863.8459}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,1,1.05,0.0001,7010.42,6655.2,0.02,False,True,True,0.9331,2026-09-13T18:26:23.762240+00:00,2026-09-13T18:26:24.695324+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00021,21,COMPLETED,1178312805,845761462,1316406881,1457919063,766822716,"{'benefit_amount': 556.7467, 'total_budget': 40636946.0304}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,0,0,0.0,0,0.0,0.0,False,True,True,1.0098,2026-09-13T18:26:24.711987+00:00,2026-09-13T18:26:25.721791+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00022,22,COMPLETED,989092604,1266764886,381194649,1353794384,1821320436,"{'benefit_amount': 690.9604, 'total_budget': 39152782.0618}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,1,1.05,0.0001,8734.08,8291.52,0.02,False,True,True,0.8693,2026-09-13T18:26:25.744534+00:00,2026-09-13T18:26:26.613849+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00023,23,COMPLETED,347920404,1368229796,682265768,2021679190,1774112455,"{'benefit_amount': 601.8959, 'total_budget': 37533160.2048}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,1,1.05,0.0001,7608.32,7222.8,0.02,False,True,True,0.995,2026-09-13T18:26:26.659836+00:00,2026-09-13T18:26:27.654854+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00024,24,COMPLETED,1093803144,1040285932,1149850598,1121967885,877707168,"{'benefit_amount': 672.4762, 'total_budget': 45130505.8926}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,1,1.05,0.0001,8500.49,8069.76,0.02,False,True,True,0.8146,2026-09-13T18:26:27.679189+00:00,2026-09-13T18:26:28.493857+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00025,25,COMPLETED,269581272,1068462597,345606805,1842839476,1412931745,"{'benefit_amount': 525.272, 'total_budget': 44509843.3618}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,0,0,0.0,0,0.0,0.0,False,True,True,0.9802,2026-09-13T18:26:28.509314+00:00,2026-09-13T18:26:29.489529+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00026,26,COMPLETED,1987678976,1655752491,4311480,1958787643,1146692955,"{'benefit_amount': 582.8283, 'total_budget': 40514818.457}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,1,1.05,0.0001,7367.26,6993.96,0.02,False,True,True,1.0314,2026-09-13T18:26:29.509649+00:00,2026-09-13T18:26:30.541054+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00027,27,COMPLETED,1587225704,573567507,363227903,1609154615,843810605,"{'benefit_amount': 534.171, 'total_budget': 44894136.4732}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,1,1.05,0.0001,6752.18,6410.04,0.02,False,True,True,0.8621,2026-09-13T18:26:30.565047+00:00,2026-09-13T18:26:31.427221+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00028,28,COMPLETED,772072013,1901328991,1201155485,108058068,1022144755,"{'benefit_amount': 682.8947, 'total_budget': 42134972.2981}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,0,0,0.0,0,0.0,0.0,False,True,True,0.9574,2026-09-13T18:26:31.448324+00:00,2026-09-13T18:26:32.405763+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00029,29,COMPLETED,657545711,840950969,901097462,902082206,589831249,"{'benefit_amount': 590.1974, 'total_budget': 44349698.9209}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,1,1.05,0.0001,7460.42,7082.4,0.02,False,True,True,0.88,2026-09-13T18:26:32.423376+00:00,2026-09-13T18:26:33.303379+00:00
tn_exp_003_combined_uncertainty,ITER-tn_exp_003_combined_uncertainty-00030,30,COMPLETED,141796587,186002264,838952489,418681542,351052616,"{'benefit_amount': 642.9265, 'total_budget': 46042295.2572}",,0,12000,1,1.0,True,0.000373,12000.0,tn_clean_cooking_subsidy_002,1.0,12000,12000.0,1.0,1,1.05,0.0001,8126.96,7715.16,0.02,False,True,True,0.8434,2026-09-13T18:26:33.328334+00:00,2026-09-13T18:26:34.171747+00:00
