field,category,template_count,template_proportion,official_proportion,difference,official_source
gender,Male,11089,0.491,0.5008934532717424,-0.0099,SRC_TN_DES_GLANCE_2023_24;SRC_CENSUS_PCA_SD_2011
gender,Female,11493,0.5089,0.49910654672825755,0.0098,SRC_TN_DES_GLANCE_2023_24;SRC_CENSUS_PCA_SD_2011
urban_rural,Urban,11764,0.5209,0.48397612486612407,0.0369,SRC_TN_DES_GLANCE_2023_24;SRC_CENSUS_PCA_SD_2011
urban_rural,Rural,10820,0.4791,0.5160238751338759,-0.0369,SRC_TN_DES_GLANCE_2023_24;SRC_CENSUS_PCA_SD_2011
